context,question,answer
"Justifying Grace or Accepting Grace is that grace, offered by God to all people, that we receive by faith and trust in Christ, through which God pardons the believer of sin. It is in justifying grace we are received by God, in spite of our sin. In this reception, we are forgiven through the atoning work of Jesus Christ on the cross. The justifying grace cancels our guilt and empowers us to resist the power of sin and to fully love God and neighbor. Today, justifying grace is also known as conversion, ""accepting Jesus as your personal Lord and Savior,"" or being ""born again"". John Wesley originally called this experience the New Birth. This experience can occur in different ways; it can be one transforming moment, such as an altar call experience, or it may involve a series of decisions across a period of time.",What is the grace that we receive by faith and trust in God?,Justifying Grace or Accepting Grace; Justifying Grace or Accepting Grace; Justifying Grace
"On May 30, 2006, Taylor Hicks was named American Idol, with Katharine McPhee the runner-up. ""Do I Make You Proud"" was released as Hicks' first single and McPhee's was ""My Destiny"".",Who was the winner American Idol in 2006?,Taylor Hicks
"The city's planned design included specific areas for almost everything, including accommodation, Hotels Sectors North and South. New hotel facilities are being developed elsewhere, such as the hotels and tourism Sector North, located on the shores of Lake Paranoá. Brasília has a range of tourist accommodation from inns, pensions and hostels to larger international chain hotels. The city's restaurants cater to a wide range of foods from local and regional Brazilian dishes to international cuisine.",Where did Brasilia place hotels?,Hotels Sectors North and South
"In Europe, and other regions using the ISO 216 paper sizing system, the weight is expressed in grammes per square metre (g/m2 or usually just g) of the paper. Printing paper is generally between 60 g and 120 g. Anything heavier than 160 g is considered card. The weight of a ream therefore depends on the dimensions of the paper and its thickness.",What ISO sizing system does Europe use?,ISO 216
"In editorials published on 29 and 31 July 1914, Wickham Steed, the Times's Chief Editor, argued that the British Empire should enter World War I. On 8 May 1920, also under the editorship of Steed, The Times in an editorial endorsed the anti-Semitic fabrication The Protocols of the Learned Elders of Zion as a genuine document, and called Jews the world's greatest danger. In the leader entitled ""The Jewish Peril, a Disturbing Pamphlet: Call for Inquiry"", Steed wrote about The Protocols of the Elders of Zion:",Who was The Times' Chief Editor in 1914?,Wickham Steed
"In the late 1980s, many local Chicago house music artists suddenly found themselves presented with major label deals. House music proved to be a commercially successful genre and a more mainstream pop-based variation grew increasingly popular. Artists and groups such as Madonna, Janet Jackson, Paula Abdul, Aretha Franklin, Bananarama, Diana Ross, Tina Turner, Whitney Houston, Steps, Kylie Minogue, Bjork, and C+C Music Factoryhave all incorporated the genre into some of their work. After enjoying significant success in the early to mid-90s, house music grew even larger during the second wave of progressive house (1999–2001). The genre has remained popular and fused into other popular subgenres, for example, G-house, Deep House, Tech House and Bass House. As of 2015, house music remains extremely popular in both clubs and in the mainstream pop scene while retaining a foothold on underground scenes across the globe.[citation needed]",When was the second wave of progressive house?,1999–2001
"Television personality Piers Morgan, a former editor of the Daily Mirror and of The Sun's Bizarre pop column, has said that during the late 1980s, at Kelvin MacKenzie's behest, he was ordered to speculate on the sexuality of male pop stars for a feature headlined ""The Poofs of Pop"". He also recalls MacKenzie headlining a January 1989 story about the first same-sex kiss on the BBC television soap opera EastEnders ""EastBenders"", describing the kiss between Colin Russell and Guido Smith as ""a homosexual love scene between yuppie poofs ... when millions of children were watching"".",What did Piers Morgan offer opinions about in a late 1980s column?,the sexuality of male pop stars
"In the following two decades after Sianis' ill will, the Cubs played mostly forgettable baseball, finishing among the worst teams in the National League on an almost annual basis. Longtime infielder/manager Phil Cavarretta, who had been a key player during the '45 season, was fired during spring training in 1954 after admitting the team was unlikely to finish above fifth place. Although shortstop Ernie Banks would become one of the star players in the league during the next decade, finding help for him proved a difficult task, as quality players such as Hank Sauer were few and far between. This, combined with poor ownership decisions such as the College of Coaches, and the ill-fated trade of future Hall of Famer Lou Brock to the Cardinals for pitcher Ernie Broglio (who won only 7 games over the next three seasons), hampered on-field performance.",Who had been a key player in the 1945 season?,Phil Cavarretta
"Influential gospel/R&B-influenced Aly-us released ""Time Passes On"" in 1993 (Strictly Rhythm), then later, ""Follow Me"" which received radio airplay as well as being played in clubs. Another U.S. hit which received radio play was the single ""Time for the Perculator"" by Cajmere, which became the prototype of ghetto house subgenre. Cajmere started the Cajual and Relief labels (amongst others). By the early 1990s artists such as Cajmere himself (under that name as well as Green Velvet and as producer for Dajae), DJ Sneak, Glenn Underground and others did many recordings. The 1990s saw new Chicago house artists emerge such as DJ Funk, who operates a Chicago house record label called Dance Mania. Ghetto house and acid house were other house music styles that were also started in Chicago.","What gospel/R&B-influenced group released ""Time Passes On"" in 1993?",Aly-us
"Oklahoma City is an integral point on the United States Interstate Network, with three major interstate highways – Interstate 35, Interstate 40, and Interstate 44 – bisecting the city. Interstate 240 connects Interstate 40 and Interstate 44 in south Oklahoma City, while Interstate 235 spurs from Interstate 44 in north-central Oklahoma City into downtown.",How many major highways cross through Oklahoma City?,3
"The creation of the Federal Republic of Germany in 1949 was through the unification of the western states (which were previously under American, British, and French administration) created in the aftermath of World War II. Initially, in 1949, the states of the Federal Republic were Baden, Bavaria (in German: Bayern), Bremen, Hamburg, Hesse (Hessen), Lower Saxony (Niedersachsen), North Rhine Westphalia (Nordrhein-Westfalen), Rhineland-Palatinate (Rheinland-Pfalz), Schleswig-Holstein, Württemberg-Baden, and Württemberg-Hohenzollern. West Berlin, while officially not part of the Federal Republic, was largely integrated and considered as a de facto state.",What year was the Federal Republic of Germany created?,1949
"Catalan shares many traits with the other neighboring Romance languages (Italian, Sardinian, Occitan, and Spanish). However, despite being mostly situated in the Iberian Peninsula, Catalan has marked differences with the Ibero-Romance group (Spanish and Portuguese) in terms of pronunciation, grammar, and especially vocabulary; showing instead its closest affinity with Occitan and to a lesser extent Gallo-Romance (French, Franco-Provençal, Gallo-Italian).",What does Catalan share with nearby Romance languages?,many traits
"Influences also came to her from the art world, most notably through the works of Mexican artist Frida Kahlo. The music video of the song ""Bedtime Story"" featured images inspired by the paintings of Kahlo and Remedios Varo. Madonna is also a collector of Tamara de Lempicka's Art Deco paintings and has included them in her music videos and tours. Her video for ""Hollywood"" (2003) was an homage to the work of photographer Guy Bourdin; Bourdin's son subsequently filed a lawsuit for unauthorised use of his father's work. Pop artist Andy Warhol's use of sadomasochistic imagery in his underground films were reflected in the music videos for ""Erotica"" and ""Deeper and Deeper"".",Whose art influence Madonna?,Frida Kahlo
"Manifold vacuum can be used to drive accessories on automobiles. The best-known application is the vacuum servo, used to provide power assistance for the brakes. Obsolete applications include vacuum-driven windscreen wipers and Autovac fuel pumps. Some aircraft instruments (Attitude Indicator (AI) and the Heading Indicator (HI)) are typically vacuum-powered, as protection against loss of all (electrically powered) instruments, since early aircraft often did not have electrical systems, and since there are two readily available sources of vacuum on a moving aircraft—the engine and an external venturi. Vacuum induction melting uses electromagnetic induction within a vacuum.",What provides power assistance for auto brakes?,vacuum servo
"Compact Disc (CD) is a digital optical disc data storage format. The format was originally developed to store and play only sound recordings but was later adapted for storage of data (CD-ROM). Several other formats were further derived from these, including write-once audio and data storage (CD-R), rewritable media (CD-RW), Video Compact Disc (VCD), Super Video Compact Disc (SVCD), Photo CD, PictureCD, CD-i, and Enhanced Music CD. Audio CDs and audio CD players have been commercially available since October 1982.",When did Audio CDs become available for purchase?,1982
"The Kingdoms of England and Scotland were unified in 1707 creating the Kingdom of Great Britain. Following an attempted republican revolution in Ireland in 1798, the Kingdoms of Ireland and Great Britain were unified in 1801, creating the United Kingdom. The Isle of Man and the Channel Islands remaining outside of the United Kingdom but with their ultimate good governance being the responsibility of the British Crown (effectively the British government). Although, the colonies of North American that would become the United States of America were lost by the start of the 19th century, the British Empire expanded rapidly elsewhere. A century later it would cover one third of the globe. Poverty in the United Kingdom remained desperate however and industrialisation in England led to terrible condition for the working class. Mass migrations following the Irish Famine and Highland Clearances resulted in the distribution of the islands' population and culture throughout the world and a rapid de-population of Ireland in the second-half of the 19th century. Most of Ireland seceded from the United Kingdom after the Irish War of Independence and the subsequent Anglo-Irish Treaty (1919–1922), with the six counties that formed Northern Ireland remaining as an autonomous region of the UK.",In what year was the Kingdom of Great Britain founded?,1707
"With the automobile being the primary means of transportation for over 80 percent of its residents, San Diego is served by a network of freeways and highways. This includes Interstate 5, which runs south to Tijuana and north to Los Angeles; Interstate 8, which runs east to Imperial County and the Arizona Sun Corridor; Interstate 15, which runs northeast through the Inland Empire to Las Vegas and Salt Lake City; and Interstate 805, which splits from I-5 near the Mexican border and rejoins I-5 at Sorrento Valley.",What major interstate runs from Tijuana to Los Angeles?,Interstate 8
"The German states proclaimed their union as the German Empire under the Prussian king, Wilhelm I, uniting Germany as a nation-state. The Treaty of Frankfurt of 10 May 1871 gave Germany most of Alsace and some parts of Lorraine, which became the Imperial territory of Alsace-Lorraine (Reichsland Elsaß-Lothringen).The German conquest of France and the unification of Germany upset the European balance of power, that had existed since the Congress of Vienna in 1815 and Otto von Bismarck maintained great authority in international affairs for two decades. French determination to regain Alsace-Lorraine and fear of another Franco-German war, along with British apprehension about the balance of power, became factors in the causes of World War I.",Under what Prussian king did the German empire unite as a nation-state?,Wilhelm I
"Though much of Enlightenment political thought was dominated by social contract theorists, both David Hume and Adam Ferguson criticized this camp. Hume's essay Of the Original Contract argues that governments derived from consent are rarely seen, and civil government is grounded in a ruler's habitual authority and force. It is precisely because of the ruler's authority over-and-against the subject, that the subject tacitly consents; Hume says that the subjects would ""never imagine that their consent made him sovereign"", rather the authority did so. Similarly, Ferguson did not believe citizens built the state, rather polities grew out of social development. In his 1767 An Essay on the History of Civil Society, Ferguson uses the four stages of progress, a theory that was very popular in Scotland at the time, to explain how humans advance from a hunting and gathering society to a commercial and civil society without ""signing"" a social contract.","In what work did Ferguson explain how humans advanced from a hunting and gathering society to a commercial and civil society without ""signing"" a social contract?",An Essay on the History of Civil Society
"On 30 July 1891, at the age of 35, Tesla became a naturalized citizen of the United States, and established his South Fifth Avenue laboratory, and later another at 46 E. Houston Street, in New York. He lit electric lamps wirelessly at both locations, demonstrating the potential of wireless power transmission. In the same year, he patented the Tesla coil.",How old was tesla when he became a US citizen?,35; 35; 35
"Armenians enjoy many different native and foreign foods. Arguably the favorite food is khorovats an Armenian-styled barbecue. Lavash is a very popular Armenian flat bread, and Armenian paklava is a popular dessert made from filo dough. Other famous Armenian foods include the kabob (a skewer of marinated roasted meat and vegetables), various dolmas (minced lamb, or beef meat and rice wrapped in grape leaves, cabbage leaves, or stuffed into hollowed vegetables), and pilaf, a rice dish. Also, ghapama, a rice-stuffed pumpkin dish, and many different salads are popular in Armenian culture. Fruits play a large part in the Armenian diet. Apricots (Prunus armeniaca, also known as Armenian Plum) have been grown in Armenia for centuries and have a reputation for having an especially good flavor. Peaches are popular as well, as are grapes, figs, pomegranates, and melons. Preserves are made from many fruits, including cornelian cherries, young walnuts, sea buckthorn, mulberries, sour cherries, and many others.",What is khorovats?,an Armenian-styled barbecue
"In presidential elections, Montana was long classified as a swing state, though the state has voted for the Republican candidate in all but two elections from 1952 to the present. The state last supported a Democrat for president in 1992, when Bill Clinton won a plurality victory. Overall, since 1889 the state has voted for Democratic governors 60 percent of the time and Democratic presidents 40 percent of the time, with these numbers being 40/60 for Republican candidates. In the 2008 presidential election, Montana was considered a swing state and was ultimately won by Republican John McCain, albeit by a narrow margin of two percent.","In elections, what is Montana considered?",a swing state
"Ottoman illumination covers non-figurative painted or drawn decorative art in books or on sheets in muraqqa or albums, as opposed to the figurative images of the Ottoman miniature. It was a part of the Ottoman Book Arts together with the Ottoman miniature (taswir), calligraphy (hat), Islamic calligraphy, bookbinding (cilt) and paper marbling (ebru). In the Ottoman Empire, illuminated and illustrated manuscripts were commissioned by the Sultan or the administrators of the court. In Topkapi Palace, these manuscripts were created by the artists working in Nakkashane, the atelier of the miniature and illumination artists. Both religious and non-religious books could be illuminated. Also sheets for albums levha consisted of illuminated calligraphy (hat) of tughra, religious texts, verses from poems or proverbs, and purely decorative drawings.",Were would one find the sheets where Ottoman's created illuminated decorations?,muraqqa
